origin,destination,loaded_on,discharged_on,ocean_days
Shanghai,Los Angeles,2020-10-22,2020-11-18,27
Ningbo,Malta Freeport,2020-10-26,2020-11-25,30
Nagoya,Melbourne,2020-11-02,2020-11-25,23
Cai Mep,Long Beach,2020-11-14,2021-03-30,136
Iquique,Santo Domingo,2020-11-17,2020-12-11,24
Subic,Long Beach,2020-12-03,2021-02-02,61
Shanghai,Hamburg,2020-12-09,2021-01-11,33
Seattle,Kaohsiung,2020-12-10,2021-01-03,24
Yantian,Long Beach,2020-12-11,2020-12-28,17
Antwerpen,Montreal,2020-12-14,2020-12-26,12
Huangpu,Casablanca,2020-12-14,2021-02-13,61
Yantian,Los Angeles,2020-12-21,2021-02-21,62
Melbourne,Pelabuhan Klang,2020-12-21,2021-01-04,14
Yantian,Long Beach,2020-12-23,2021-01-28,36
Shanghai,Fort Worth,2020-12-25,2021-02-21,58
Yantian,Los Angeles,2020-12-26,2021-02-20,56
Beirut,Lagos,2020-12-26,2021-03-24,88
Long Beach,Huangpu,2020-12-28,2021-02-01,35
Tianjin Xingang,Los Angeles,2020-12-29,2021-02-12,45
Zhongshan,Long Beach,2020-12-29,2021-03-16,77
Yantian,Long Beach,2020-12-31,2021-02-19,50
Yantian,Long Beach,2020-12-31,2021-02-12,43
Yantian,Long Beach,2020-12-31,2021-02-19,50
Yantian,Long Beach,2020-12-31,2021-02-19,50
Yantian,Los Angeles,2021-01-08,2021-03-16,67
Shanghai,Long Beach,2021-01-10,2021-02-01,22
Qingdao,Sydney,2021-01-10,2021-02-03,24
Yantian,Los Angeles,2021-01-10,2021-03-30,79
Long Beach,Shanghai,2021-01-10,2021-01-31,21
Yantian,Long Beach,2021-01-11,2021-01-30,19
Tianjin Xingang,Los Angeles,2021-01-13,2021-02-27,45
Yantian,Los Angeles,2021-01-14,2021-03-30,75
Shanghai,Los Angeles,2021-01-17,2021-02-18,32
Cai Mep,Long Beach,2021-01-19,2021-03-08,48
Yantian,Vancouver,2021-01-20,2021-03-09,48
Yantian,Los Angeles,2021-01-20,2021-03-11,50
Ningbo,Long Beach,2021-01-21,2021-02-10,20
Zhuhai,Long Beach,2021-01-22,2021-02-15,24
Qingdao,Long Beach,2021-01-24,2021-03-26,61
Shanghai Hongqiao International,Los Angeles,2021-01-26,2021-03-09,42
Fuzhou,Los Angeles,2021-01-27,2021-04-03,66
Pelabuhan Klang,Los Angeles,2021-01-28,2021-03-15,46
Long Beach,Haiphong,2021-01-29,2021-04-19,80
Houston,Le Havre,2021-01-29,2021-02-13,15
Shanghai,Oakland,2021-01-29,2021-02-25,27
Nagoya,Los Angeles,2021-01-30,2021-02-28,29
Yantian,Long Beach,2021-01-30,2021-02-15,16
Xiamen,Los Angeles,2021-01-31,2021-04-14,73
Ningbo,Southampton,2021-01-31,2021-03-06,34
Yantian,Long Beach,2021-02-01,2021-03-05,32
Kobe,Los Angeles,2021-02-02,2021-03-19,45
Vung Tau,Long Beach,2021-02-02,2021-03-04,30
Yantian,Los Angeles,2021-02-04,2021-03-26,50
Casablanca,Abidjan,2021-02-04,2021-02-28,24
Chattogram,Los Angeles,2021-02-05,2021-03-31,54
Shanghai,Long Beach,2021-02-05,2021-02-21,16
Shanghai,Long Beach,2021-02-05,2021-02-21,16
Tianjin Xingang,Fort Worth,2021-02-06,2021-04-02,55
Shanghai,Fort Worth,2021-02-06,2021-03-20,42
Tianjin Xingang,Fort Worth,2021-02-06,2021-04-02,55
Ho Chi Minh City,Los Angeles,2021-02-07,2021-04-05,57
Mundra,Thilawa,2021-02-07,2021-02-26,19
Huangpu,Memphis,2021-02-07,2021-04-08,60
Ba Ria,Long Beach,2021-02-07,2021-03-30,51
Tianjin Xingang,Los Angeles,2021-02-08,2021-03-23,43
Tianjin Xingang,Los Angeles,2021-02-08,2021-03-27,47
Tianjin Xingang,Los Angeles,2021-02-08,2021-03-27,47
Long Beach,Haiphong,2021-02-09,2021-03-14,33
Ningbo,Kiamari,2021-02-09,2021-02-28,19
Ningbo,Long Beach,2021-02-09,2021-03-01,20
Qingdao,Buenos Aires,2021-02-10,2021-03-30,48
Shanghai,Long Beach,2021-02-10,2021-03-22,40
Jakarta,Savannah,2021-02-11,2021-03-26,43
Shanghai,Rio de Janeiro,2021-02-11,2021-03-13,30
Yantian,Prince Rupert,2021-02-13,2021-03-01,16
Vung Tau,Long Beach,2021-02-14,2021-04-27,72
Saint Petersburg,Tema,2021-02-14,2021-03-25,39
Antwerpen,Mombasa,2021-02-14,2021-03-28,42
Shanghai,Tacoma,2021-02-15,2021-03-09,22
Los Angeles,Haiphong,2021-02-15,2021-04-19,63
Wuhu,Jawaharlal Nehru,2021-02-16,2021-04-01,44
Gijon,Pelabuhan Klang,2021-02-17,2021-04-10,52
Rotterdam,Busan,2021-02-19,2021-03-29,38
Valencia,Huangpu,2021-02-19,2021-04-09,49
Ho Chi Minh City,Meerhout,2021-02-21,2021-03-25,32
Los Angeles,Fremantle,2021-02-23,2021-04-21,57
Valencia,Callao,2021-02-23,2021-04-02,38
Shekou,Sydney,2021-02-23,2021-03-11,16
Acajutla,Seattle,2021-02-24,2021-05-12,77
Shanghai,Houston,2021-02-26,2021-04-12,45
Tianjin Xingang,Charleston,2021-02-27,2021-04-17,49
Xiamen,Rotterdam,2021-02-27,2021-04-17,49
Nansha,Los Angeles,2021-02-28,2021-05-03,64
Tianjin Xingang,Colombo,2021-03-03,2021-04-02,30
Norfolk,Qingdao,2021-03-03,2021-05-13,71
Ennore,Savannah,2021-03-03,2021-04-30,58
Houston,Livorno,2021-03-04,2021-04-27,54
Fuqing,Savannah,2021-03-05,2021-04-20,46
Valencia,Casablanca,2021-03-05,2021-03-27,22
Yantian,Los Angeles,2021-03-05,2021-04-15,41
Chattogram,Los Angeles,2021-03-06,2021-04-27,52
Chattogram,Los Angeles,2021-03-06,2021-04-26,51
Rotterdam,Shanghai,2021-03-06,2021-04-16,41
Shanghai,New York City,2021-03-06,2021-04-11,36
Yantian,Long Beach,2021-03-07,2021-04-01,25
Yantian,Long Beach,2021-03-07,2021-03-31,24
Shanghai,Los Angeles,2021-03-07,2021-04-14,38
Port Muhammad Bin Qasim,Savannah,2021-03-08,2021-04-29,52
Civet,Los Angeles,2021-03-08,2021-04-20,43
Shanghai,Charleston,2021-03-09,2021-04-20,42
Tianjin Xingang,Tema,2021-03-09,2021-04-26,48
Rotterdam,New York City,2021-03-10,2021-03-21,11
Shanghai,Long Beach,2021-03-10,2021-04-06,27
Shekou,Manzanillo,2021-03-11,2021-04-15,35
Zhenjiang,Dammam,2021-03-11,2021-04-29,49
Long Beach,Xinpu,2021-03-11,2021-04-12,32
Ho Chi Minh City,Los Angeles,2021-03-11,2021-05-04,54
Ho Chi Minh City,Los Angeles,2021-03-11,2021-05-08,58
Ho Chi Minh City,Los Angeles,2021-03-11,2021-05-04,54
Vung Tau,Charleston,2021-03-12,2021-04-27,46
Yantian,Los Angeles,2021-03-12,2021-03-30,18
Houston,Chennai,2021-03-12,2021-05-18,67
Xinpu,Dongguan,2021-03-13,2021-03-31,18
Xiamen,Le Havre,2021-03-13,2021-04-15,33
Shanghai,Long Beach,2021-03-15,2021-04-02,18
Rotterdam,Shanghai,2021-03-15,2021-04-25,41
Yantian,Long Beach,2021-03-15,2021-04-01,17
Haiphong,Melbourne,2021-03-15,2021-04-05,21
Yantian,Long Beach,2021-03-15,2021-04-01,17
Gdansk,Shanghai,2021-03-16,2021-05-14,59
Ningbo,Long Beach,2021-03-16,2021-04-04,19
Yantian,Long Beach,2021-03-16,2021-04-15,30
Yantian,Long Beach,2021-03-17,2021-05-01,45
Tianjin Xingang,Ciudad Lazaro Cardenas,2021-03-17,2021-04-22,36
Yantian,Los Angeles,2021-03-17,2021-04-09,23
Savannah,Abu Dhabi,2021-03-17,2021-05-06,50
Yantian,Long Beach,2021-03-17,2021-04-15,29
Qingdao,Los Angeles,2021-03-18,2021-04-07,20
Sydney,Jakarta,2021-03-18,2021-03-29,11
Gwangyang,Fos-sur-Mer,2021-03-18,2021-05-12,55
Shanghai,Long Beach,2021-03-19,2021-04-04,16
Shanghai,Long Beach,2021-03-19,2021-04-04,16
Surabaya,Tacoma,2021-03-19,2021-05-17,59
Jakarta,Vancouver,2021-03-19,2021-05-10,52
Shanghai,Long Beach,2021-03-19,2021-04-07,19
Ningbo,Los Angeles,2021-03-19,2021-04-27,39
Yantian,Los Angeles,2021-03-19,2021-04-09,21
Xiamen,Los Angeles,2021-03-20,2021-05-20,61
Cape Town,Rotterdam,2021-03-20,2021-04-09,20
Yantian,Long Beach,2021-03-20,2021-04-07,18
Chattogram,Los Angeles,2021-03-20,2021-05-19,60
Tianjin Xingang,Rotterdam,2021-03-20,2021-05-01,42
Yantian,Long Beach,2021-03-20,2021-04-07,18
Vung Tau,Savannah,2021-03-21,2021-04-28,38
Ningbo,Long Beach,2021-03-22,2021-04-09,18
Ningbo,Long Beach,2021-03-22,2021-04-11,20
New Orleans,Antwerpen,2021-03-22,2021-04-30,39
Ningbo,Long Beach,2021-03-22,2021-04-11,20
Ningbo,Rotterdam,2021-03-22,2021-04-24,33
Houston,Paramaribo,2021-03-22,2021-04-23,32
Jawaharlal Nehru,Los Angeles,2021-03-23,2021-05-08,46
Nansha,Jawaharlal Nehru,2021-03-23,2021-04-05,13
Ningbo,Dar es Salaam,2021-03-23,2021-04-29,37
Shanghai,Los Angeles,2021-03-23,2021-04-18,26
Ningbo,Tema,2021-03-23,2021-04-26,34
Yantian,Los Angeles,2021-03-24,2021-05-07,44
Ningbo,Long Beach,2021-03-24,2021-04-26,33
Long Beach,Dammam,2021-03-24,2021-05-16,53
Ningbo,Sokhna Port,2021-03-24,2021-04-17,24
Tianjin Xingang,Los Angeles,2021-03-24,2021-04-25,32
Fuqing,Vancouver,2021-03-24,2021-05-01,38
Sydney,Kaohsiung,2021-03-24,2021-04-12,19
Qingdao,Apapa,2021-03-25,2021-05-18,54
Los Angeles,Tokyo,2021-03-25,2021-04-13,19
Tianjin Xingang,Oakland,2021-03-25,2021-05-19,55
Ningbo,Los Angeles,2021-03-25,2021-04-29,35
Shanghai,Long Beach,2021-03-25,2021-04-11,17
Yantian,Los Angeles,2021-03-26,2021-04-27,32
Long Beach,Kaohsiung,2021-03-26,2021-04-11,16
Ningbo,Los Angeles,2021-03-26,2021-05-01,36
Nanjing,Manzanillo,2021-03-26,2021-05-12,47
Chattogram,Los Angeles,2021-03-26,2021-05-10,45
Long Beach,Kaohsiung,2021-03-26,2021-04-10,15
Charleston,Pelabuhan Klang,2021-03-26,2021-05-12,47
Cai Mep,Los Angeles,2021-03-27,2021-04-25,29
Yantian,Los Angeles,2021-03-27,2021-04-19,23
Yantian,Los Angeles,2021-03-27,2021-05-05,39
Kolkata,Haiphong,2021-03-28,2021-04-14,17
Xiamen,Gdansk,2021-03-29,2021-05-08,40
Jebel Ali,Tema,2021-03-29,2021-05-10,42
Shanghai,Vancouver,2021-03-29,2021-04-18,20
Vung Tau,Los Angeles,2021-03-29,2021-05-16,48
Cai Mep,Long Beach,2021-03-30,2021-04-20,21
Yantian,Los Angeles,2021-03-30,2021-07-07,99
Ningbo,Melbourne,2021-03-30,2021-04-19,20
Nagoya,Izmit,2021-03-30,2021-05-08,39
Ningbo,Felixstowe,2021-03-30,2021-05-08,39
Yantian,Los Angeles,2021-03-31,2021-05-05,35
Long Beach,Cai Mep,2021-03-31,2021-04-19,19
Long Beach,Ho Chi Minh City,2021-03-31,2021-04-29,29
Shanghai,New York City,2021-03-31,2021-05-01,31
Buenos Aires,Genova,2021-03-31,2021-05-09,39
Shantou,Dammam,2021-03-31,2021-05-04,34
Tianjin Xingang,Long Beach,2021-03-31,2021-05-02,32
Tokyo,Laem Chabang,2021-04-01,2021-04-12,11
Yantian,Los Angeles,2021-04-01,2021-07-07,97
Shanghai,Norfolk,2021-04-01,2021-05-08,37
Yantian,Los Angeles,2021-04-01,2021-07-21,111
Yantian,Long Beach,2021-04-01,2021-04-29,28
Cai Mep,Long Beach,2021-04-01,2021-05-05,34
Cai Mep,Long Beach,2021-04-01,2021-05-04,33
Ningbo,Long Beach,2021-04-02,2021-05-19,47
Zhuhai,Long Beach,2021-04-02,2021-05-01,29
Busan,Koper,2021-04-02,2021-04-26,24
Ningbo,Long Beach,2021-04-02,2021-05-18,46
Tianjin Xingang,Los Angeles,2021-04-03,2021-05-23,50
Yantian,Los Angeles,2021-04-03,2021-05-29,56
Jebel Ali,Mombasa,2021-04-03,2021-05-03,30
Latakia,Rotterdam,2021-04-03,2021-04-26,23
Kobe,Los Angeles,2021-04-04,2021-04-28,24
Yantian,Long Beach,2021-04-04,2021-04-19,15
Ningbo,Long Beach,2021-04-04,2021-04-20,16
Ningbo,Long Beach,2021-04-04,2021-04-20,16
Yokohama,Singapore,2021-04-04,2021-04-12,8
Ningbo,Long Beach,2021-04-04,2021-04-20,16
Ningbo,Long Beach,2021-04-04,2021-04-20,16
Ningbo,Long Beach,2021-04-04,2021-04-20,16
Laem Chabang,Fremantle,2021-04-04,2021-04-19,15
Haiphong,Vancouver,2021-04-04,2021-05-09,35
Tianjin Xingang,Semarang,2021-04-04,2021-04-23,19
Chattogram,Los Angeles,2021-04-05,2021-05-20,45
Shanghai,Los Angeles,2021-04-05,2021-04-21,16
Yantian,Long Beach,2021-04-05,2021-04-20,15
Chattogram,Los Angeles,2021-04-05,2021-05-18,43
Abidjan,Ho Chi Minh City,2021-04-06,2021-05-26,50
Qingdao,Melbourne,2021-04-07,2021-05-01,24
Ningbo,Long Beach,2021-04-07,2021-04-25,18
Long Beach,Haiphong,2021-04-07,2021-05-02,25
Yantian,Los Angeles,2021-04-07,2021-04-23,16
Ningbo,Long Beach,2021-04-07,2021-04-27,20
Shanghai,Long Beach,2021-04-07,2021-04-20,13
Shanghai,Long Beach,2021-04-07,2021-04-20,13
Ningbo,Long Beach,2021-04-07,2021-04-24,17
Ningbo,Long Beach,2021-04-07,2021-04-26,19
Ningbo,Long Beach,2021-04-07,2021-04-27,20
Zhuhai,Long Beach,2021-04-08,2021-05-09,31
Long Beach,Dalian,2021-04-08,2021-05-01,23
Seattle,Kwangyang,2021-04-08,2021-05-05,27
Yantian,Seattle,2021-04-08,2021-04-25,17
Vung Tau,Los Angeles,2021-04-09,2021-05-09,30
Vung Tau,Los Angeles,2021-04-09,2021-05-08,29
Laem Chabang,Tokyo,2021-04-09,2021-04-19,10
Shanghai,Los Angeles,2021-04-09,2021-04-30,21
Shanghai,Los Angeles,2021-04-09,2021-04-27,18
Shanghai,Los Angeles,2021-04-09,2021-04-28,19
Long Beach,Qingdao,2021-04-10,2021-04-27,17
Shanghai,Los Angeles,2021-04-10,2021-05-17,37
Long Beach,Qingdao,2021-04-10,2021-04-27,17
Imaricho-ko,Haiphong,2021-04-10,2021-04-30,20
Jakarta,Kobe,2021-04-10,2021-04-24,14
Vung Tau,Los Angeles,2021-04-10,2021-05-08,28
Singapore,Chennai,2021-04-10,2021-04-15,5
Cai Mep,Los Angeles,2021-04-11,2021-05-11,30
Shanghai,Long Beach,2021-04-11,2021-04-24,13
Ningbo,Long Beach,2021-04-11,2021-06-03,53
Shanghai,Long Beach,2021-04-11,2021-04-27,16
Shanghai,Long Beach,2021-04-11,2021-04-25,14
Ningbo,Long Beach,2021-04-11,2021-06-04,54
Xiamen,Gdansk,2021-04-11,2021-05-11,30
Shanghai,Long Beach,2021-04-11,2021-04-25,14
Norfolk,Iyomishima,2021-04-12,2021-05-13,31
Yantian,Los Angeles,2021-04-12,2021-07-06,85
Savannah,Manzanillo,2021-04-12,2021-04-25,13
Long Beach,Ho Chi Minh City,2021-04-13,2021-05-05,22
Ningbo,Long Beach,2021-04-13,2021-05-07,24
Ningbo,Long Beach,2021-04-13,2021-05-07,24
Ningbo,Long Beach,2021-04-13,2021-05-05,22
Tianjin Xingang,Long Beach,2021-04-13,2021-05-07,24
Qingdao,Los Angeles,2021-04-13,2021-05-06,23
Xiamen,Los Angeles,2021-04-13,2021-05-17,34
Yantian,Long Beach,2021-04-14,2021-05-03,19
Yantian,Long Beach,2021-04-14,2021-04-29,15
Yantian,Long Beach,2021-04-14,2021-04-29,15
Yantian,Fort Worth,2021-04-15,2021-06-03,49
Zhuhai,Los Angeles,2021-04-15,2021-05-21,36
Los Angeles,Kiamari,2021-04-16,2021-05-21,35
Shanghai,Long Beach,2021-04-16,2021-05-24,38
Shanghai,Long Beach,2021-04-17,2021-05-05,18
Shanghai,Long Beach,2021-04-17,2021-05-05,18
Shanghai,Long Beach,2021-04-17,2021-05-07,20
Xiamen,Los Angeles,2021-04-17,2021-06-11,55
Shanghai,Long Beach,2021-04-17,2021-05-05,18
Xiamen,Los Angeles,2021-04-17,2021-05-18,31
Yantian,New York City,2021-04-17,2021-05-27,40
Shanghai,Los Angeles,2021-04-18,2021-05-04,16
Xiamen,Felixstowe,2021-04-18,2021-05-12,24
Ningbo,Long Beach,2021-04-19,2021-05-03,14
Ningbo,Long Beach,2021-04-20,2021-05-11,21
Rotterdam,Savannah,2021-04-20,2021-05-04,14
Ningbo,Long Beach,2021-04-20,2021-05-11,21
Yantian,Long Beach,2021-04-21,2021-05-11,20
Qingdao,Santos,2021-04-21,2021-06-04,44
Qingdao,Mombasa,2021-04-21,2021-05-23,32
Yantian,Long Beach,2021-04-21,2021-05-06,15
Shanghai,Cruz de Pau,2021-04-21,2021-06-04,44
Laem Chabang,Shanghai,2021-04-22,2021-05-01,9
Yantian,Los Angeles,2021-04-22,2021-05-04,12
Shanghai,Long Beach,2021-04-23,2021-05-13,20
Shanghai,Long Beach,2021-04-23,2021-05-13,20
Shanghai,Barcelona,2021-04-23,2021-05-19,26
Shanghai,Rotterdam,2021-04-23,2021-05-25,32
Yantian,Los Angeles,2021-04-23,2021-06-17,55
Shanghai,Long Beach,2021-04-23,2021-05-11,18
Shanghai,Long Beach,2021-04-23,2021-05-09,16
Tianjin Xingang,Los Angeles,2021-04-24,2021-06-14,51
Chattogram,Los Angeles,2021-04-24,2021-06-10,47
Tianjin Xingang,Los Angeles,2021-04-24,2021-06-22,59
Tianjin Xingang,Ho Chi Minh City,2021-04-24,2021-05-04,10
Yantian,Los Angeles,2021-04-24,2021-06-16,53
Xiamen,Los Angeles,2021-04-24,2021-06-16,53
Tianjin Xingang,Los Angeles,2021-04-24,2021-06-07,44
Shanghai,Los Angeles,2021-04-24,2021-05-19,25
Chattogram,Los Angeles,2021-04-24,2021-06-10,47
Chattogram,Los Angeles,2021-04-24,2021-06-10,47
Tianjin Xingang,Los Angeles,2021-04-24,2021-06-21,58
Shanghai,Rotterdam,2021-04-25,2021-05-19,24
Yantian,Los Angeles,2021-04-25,2021-05-25,30
Cai Mep,Long Beach,2021-04-25,2021-05-15,20
Yantian,Los Angeles,2021-04-25,2021-05-25,30
Ningbo,Long Beach,2021-04-26,2021-05-14,18
Long Beach,Ho Chi Minh City,2021-04-26,2021-05-10,14
Long Beach,Cai Mep,2021-04-26,2021-05-12,16
Ningbo,Long Beach,2021-04-26,2021-05-14,18
Klaipeda,Pelabuhan Klang,2021-04-27,2021-06-01,35
Jakarta,Dammam,2021-04-27,2021-05-23,26
Long Beach,Shanghai,2021-04-27,2021-05-16,19
Qingdao,Ho Chi Minh City,2021-04-27,2021-05-03,6
Jebel Ali,Qingdao,2021-04-28,2021-05-23,25
Xiamen,Jacksonville,2021-04-28,2021-06-16,49
Jawaharlal Nehru,Los Angeles,2021-04-28,2021-06-25,58
Los Angeles,Kobe,2021-04-28,2021-05-14,16
Xiamen,Fort Worth,2021-04-28,2021-06-09,42
Yantian,Long Beach,2021-04-29,2021-05-14,15
Ho Chi Minh City,Los Angeles,2021-04-29,2021-06-14,46
Ningbo,Hamburg,2021-04-29,2021-05-28,29
DA CHAN BAY,Fremantle,2021-04-30,2021-05-18,18
Cai Mep,Long Beach,2021-04-30,2021-05-28,28
Yantian,Long Beach,2021-04-30,2021-05-15,15
Laem Chabang,Shanghai,2021-05-01,2021-05-08,7
Shanghai,Long Beach,2021-05-02,2021-05-14,12
Shanghai,Long Beach,2021-05-02,2021-05-16,14
Hong Kong,Saint Petersburg,2021-05-02,2021-06-16,45
Shanghai,Long Beach,2021-05-02,2021-05-14,12
Ningbo,Long Beach,2021-05-03,2021-05-21,18
Ningbo,Long Beach,2021-05-03,2021-05-23,20
Shanghai,Long Beach,2021-05-05,2021-05-21,16
Shanghai,Long Beach,2021-05-05,2021-05-21,16
Chattogram,Los Angeles,2021-05-05,2021-06-18,44
Chattogram,Los Angeles,2021-05-05,2021-06-18,44
Shanghai,Long Beach,2021-05-05,2021-05-21,16
Ningbo,Long Beach,2021-05-06,2021-06-04,29
Yantian,Long Beach,2021-05-07,2021-05-22,15
Yantian,Los Angeles,2021-05-07,2021-06-03,27
Yantian,Long Beach,2021-05-07,2021-05-23,16
Yantian,Long Beach,2021-05-07,2021-05-23,16
Qingdao,Long Beach,2021-05-07,2021-06-07,31
Yantian,Long Beach,2021-05-07,2021-05-22,15
Yantian,Los Angeles,2021-05-08,2021-06-06,29
Ningbo,Los Angeles,2021-05-08,2021-05-27,19
Yantian,Los Angeles,2021-05-08,2021-06-06,29
Yantian,Los Angeles,2021-05-08,2021-06-06,29
Yantian,Long Beach,2021-05-08,2021-06-21,44
Ningbo,Los Angeles,2021-05-08,2021-05-27,19
Yantian,Los Angeles,2021-05-08,2021-06-04,27
Yantian,Los Angeles,2021-05-09,2021-06-06,28
Jawaharlal Nehru,Los Angeles,2021-05-09,2021-07-13,65
Tianjin Xingang,Los Angeles,2021-05-09,2021-06-23,45
Cai Mep,Long Beach,2021-05-10,2021-06-05,26
Kaohsiung,Long Beach,2021-05-10,2021-06-13,34
Tianjin Xingang,Los Angeles,2021-05-10,2021-06-23,44
Cai Mep,Long Beach,2021-05-10,2021-06-05,26
Yantian,Los Angeles,2021-05-10,2021-06-03,24
Cai Mep,Long Beach,2021-05-10,2021-06-03,24
Cai Mep,Long Beach,2021-05-10,2021-06-04,25
Cai Mep,Long Beach,2021-05-10,2021-06-06,27
Tianjin Xingang,Los Angeles,2021-05-10,2021-07-01,52
Cai Mep,Long Beach,2021-05-10,2021-06-03,24
Shanghai,Long Beach,2021-05-13,2021-05-28,15
Shanghai,Long Beach,2021-05-13,2021-05-27,14
Shanghai,Long Beach,2021-05-13,2021-05-27,14
Hong Kong,Long Beach,2021-05-14,2021-06-05,22
Ningbo,Los Angeles,2021-05-14,2021-06-03,20
Yantian,Long Beach,2021-05-14,2021-05-29,15
Yantian,Long Beach,2021-05-14,2021-05-28,14
Yantian,Long Beach,2021-05-14,2021-05-28,14
Yantian,Oakland,2021-05-14,2021-07-23,70
Yantian,Long Beach,2021-05-14,2021-05-28,14
Yantian,Long Beach,2021-05-14,2021-05-29,15
Ningbo,Los Angeles,2021-05-14,2021-06-02,19
Yantian,Oakland,2021-05-14,2021-07-31,78
Yantian,Long Beach,2021-05-14,2021-05-30,16
Ningbo,Los Angeles,2021-05-14,2021-06-03,20
Yantian,Long Beach,2021-05-16,2021-06-04,19
Yantian,Long Beach,2021-05-16,2021-06-02,17
Yantian,Long Beach,2021-05-18,2021-07-16,59
Chattogram,Los Angeles,2021-05-18,2021-06-25,38
Yantian,Long Beach,2021-05-19,2021-08-02,75
Yantian,Long Beach,2021-05-19,2021-06-29,41
Yantian,Long Beach,2021-05-19,2021-07-16,58
Yantian,Long Beach,2021-05-19,2021-07-23,65
Yantian,Long Beach,2021-05-19,2021-06-29,41
Yantian,Long Beach,2021-05-19,2021-07-17,59
Yantian,Long Beach,2021-05-19,2021-07-16,58
Shanghai,Los Angeles,2021-05-19,2021-07-06,48
Yantian,Long Beach,2021-05-19,2021-07-19,61
Ho Chi Minh City,Long Beach,2021-05-20,2021-07-15,56
Yantian,Long Beach,2021-05-20,2021-07-16,57
Yantian,Long Beach,2021-05-20,2021-07-06,47
Yantian,Long Beach,2021-05-20,2021-07-14,55
Ho Chi Minh City,Long Beach,2021-05-20,2021-07-15,56
Shanghai,Long Beach,2021-05-21,2021-06-04,14
Yantian,Long Beach,2021-05-21,2021-07-17,57
Cai Mep,Los Angeles,2021-05-21,2021-06-20,30
Yantian,Long Beach,2021-05-21,2021-07-06,46
Yantian,Long Beach,2021-05-21,2021-07-16,56
Ningbo,Los Angeles,2021-05-22,2021-06-09,18
Ningbo,Los Angeles,2021-05-23,2021-06-08,16
Ningbo,Los Angeles,2021-05-23,2021-06-09,17
Xiamen,Long Beach,2021-05-23,2021-08-02,71
Yantian,Long Beach,2021-05-24,2021-06-13,20
Yantian,Long Beach,2021-05-24,2021-06-11,18
Yantian,Long Beach,2021-05-24,2021-06-10,17
Yantian,Long Beach,2021-05-24,2021-06-11,18
Yantian,Long Beach,2021-05-24,2021-06-14,21
Chattogram,Long Beach,2021-05-24,2021-08-02,70
Tianjin Xingang,Los Angeles,2021-05-25,2021-07-22,58
Los Angeles,Batu Ampar,2021-05-25,2021-07-08,44
Yantian,Los Angeles,2021-05-25,2021-06-23,29
Shanghai,Los Angeles,2021-05-25,2021-06-13,19
Cai Mep,Long Beach,2021-05-27,2021-06-23,27
Ho Chi Minh City,Long Beach,2021-05-27,2021-07-19,53
Ho Chi Minh City,Long Beach,2021-05-28,2021-07-07,40
Ho Chi Minh City,Long Beach,2021-05-28,2021-07-07,40
Ningbo,Houston,2021-05-28,2021-07-09,42
Vung Tau,Los Angeles,2021-05-28,2021-06-25,28
Ho Chi Minh City,Long Beach,2021-05-28,2021-07-23,56
Ho Chi Minh City,Long Beach,2021-05-29,2021-07-19,51
